Product code,Description
aha_sample,AHA Sample
audit_acct_os,Audit Analytics - Accounting and Oversight
audit_audit_comp,Audit Analytics - Audit and Compliance
audit_common,Audit Analytics - Common Tables
audit_europe,Audit Analytics -- Europe
auditsmp_all,Audit Analytics Trial
bank_all,WRDS Bank Regulatory Database
bank_premium_samp,WRDS Bank Research Suite Sample
block_all,Blockholders Database
boardex_eur,BoardEx - Europe
boardex_na,BoardEx - North America
boardex_trial,BoardEx Trial / Sample
boardex_uk,BoardEx - UK
bvd_amadeus_trial,BvD Amadeus Trial
bvd_bvdbankf_trial,BvD Bank Focus Trial
bvd_orbis_trial,BvD Orbis Sample
calcbench_trial,Calcbench Trial / Sample
candid_samp,Sample/Trial version of Candid
cboe_all,Daily pricing of the VIX (Volatility Index) from Cboe
cboe_sample,CBOE Options End of Day Sample
ciq_common,Capital IQ Helper
ciq_pplintel,Capital IQ People Intelligence
ciqsamp_capstrct,Capital IQ Sample Capital Structure
ciqsamp_common,Capital IQ Sample Helper
ciqsamp_keydev,Capital IQ Sample Key Developments
ciqsamp_pplintel,Capital IQ Sample People Intelligence
ciqsamp_ratings,Capital IQ Sample Ratings
ciqsamp_transactions,CIQ Transactions Sample
ciqsamp_transcripts,Capital IQ Sample Transcripts
comp_bank_daily,Compustat Bank - daily updates
comp_execucomp,S&P Compustat Executive Compensation
comp_global_daily,Compustat Global - daily updates
comp_na_daily_all,Compustat North America - daily updates (current + historical data)
comp_segments_hist_daily,Compustat Historical Segments - daily updates
comp_snapshot,Compustat Snapshot
compsamp_all,S&P Compustat North America Sample
compsamp_computext,Computext Sample
compsamp_snapshot,Compustat Snapshot - Sample
contrib_as_filed_financials,Contributed Database: As-Filed Financial Statement Data
contrib_bond_dickerson,Corporate Bond Data – Dickerson
contrib_bond_firm_link,Bond-Firm Link by Fang
contrib_ceo_turnover,Contributed Database: CEO Turnover
contrib_char_returns,Contributed Data - Characteristic Returns
contrib_corp_fed_litigation,Corporate Federal Litigation Data
contrib_corporate_bond_returns,Contributed Corporate Bond Returns
contrib_corporate_culture,Contributed Database of corporate culture scores
contrib_general,Contributed Data
contrib_global_factor,Global Factor Data
contrib_intangible_value,Contributed Database: Intangible Value
contrib_kpss,KPSS Technological Innovation
contrib_liva,Contributed Database: LIVA
contrib_shale,None
crsp_a_ccm,CRSP/Compustat Merged (Annual)
crsp_a_indexes,CRSP Indexes (Annual)
crsp_a_stock,CRSP Stock (Annual)
crsp_a_stock10,10 years of monthly CRSP Stock history
crsp_q_indexhist,CRSP Index History Intraday (Quarterly)
crsp_q_mutualfunds,CRSP Mutual Funds (Quarterly)
crsp_q_stock,CRSP Stock (Quarterly)
crspsamp_all,CRSP Sample
crspsamp_mf,CRSP Mutual Fund Sample
csmsamp_all,CSMAR Sample
djones_all,Dow Jones Averages & Total Return Indexes
dmef_all,Direct Marketing Educational Foundation
doe_all,SEC Disclosure of Order Execution Statistics
etfg_samp,ETF Global - Sample
factsamp_all,Factset sample
factsamp_revere,Factset Revere - Trial / Sample
ff_all,Fama-French portfolios and factors
fisd_common,Mergent Common Files
fisd_fisd,Mergent FISD Database
fisdsamp_all,Mergent FISD sample
fjc_linking,Federal Judicial Center Linking
fjc_litigation,Federal Judicial Center Litigation
frb_all,Federal Reserve Board rates
ftsesamp_russell_us,FTSE Russell Sample
gutenberg,Project Gutenberg
hfrsamp_hfrdb,HFR Sample (non-identifiers)
ibessamp_kpi,IBES Key Performance Indicators Sample
ims_obp_trial,IMS - SK&A Office Based Premium Trial
infogroupsamp_business,Infogroup Sample - Business
infogroupsamp_residential,Infogroup Sample - Residential
infraclear_samp,Sample data of Infraclear
iri_all,IRI Marketing Fact Book
macrofin_comm_trade,Macro Finance Society
macrofin_comm_trade_ccm,Compound Product Requiring CRSP and Comp
markit_cds,Markit Credit Default Swap
markit_cdxcomps,Markit CDX (Credit Indices) Composites
markit_itraxxascomps,Markit iTraxx Asian Composites
markit_itraxxeucomps,Markit iTraxx European Composites
markit_itraxxsocomps,Markit iTraxx SovX Composites
morningstarsamp_cisdm,Morningstar CISDM sample
mpsych_sample,MarketPsych Sample
mrktsamp_cds,Markit Credit Default Swap Sample
mrktsamp_cdx,Markit Credit Indices Sample
mrktsamp_msf,Markit Securities Finance Sample
mrktsamp_red,Markit Red Sample
msci_climate_samp,MSCI Climate Transition Sample
msci_common_samp,MSCI Common Sample
msci_esg_samp,MSCI Sustainability Scores and Ratings Sample
msrb_all,MSRB - Municipal Securities Transaction Data
msrbsamp_all,MSRB Trial/Sample - Municipal Securities Transaction Data
optionm_all,IvyDB US by OptionMetrics
optionmsamp_europe,OptionMetrics Sample / Trial - IvyDB Europe
optionmsamp_us,OptionMetrics Sample / Trial - IvyDB US
otc_endofday,OTC Markets End-of-Day Pricing
panjiva_samp,Panjiva Sample
phlx_all,Philadelphia Stock Exchange Currency Options and Implied Volatility
pitchsmp,Pitchbook Private Equity and Venture Capital - sample data
preqsamp_all,Preqin Sample Database
public_all,Publicly Available Data
pwt_all,The Penn World Tables Database
ravenpack_trial,RavenPack - Trial Edition
reprisk_common,RepRisk Common Files (for legacy RepRisk products subscribers)
reprisk_pm,RepRisk Premium Dataset (Legacy)
reprisk_sample,RepRisk - Sample / Trial
reprisk_v2,RepRisk Data Feed Package | Listed and non-listed companies
revelio_samp,Revelio Sample
risksamp_all,ISS (formerly RiskMetrics) Trial / Sample Subsets
rq_all,Research Quotient
rstat_samp,Sample of RoyaltyStat Royalties
secsamp_all,WRDS SEC Platform Sample
sustainalyticssamp_all,Sustainalytics Trial / Sample
taqmsamp_all,Sample Millisecond TAQ
taqsamp_all,NYSE Trades and Quotes Sample
totalq_all,Total q by Luke Taylor
tr_common,None
tr_dealscan,Thomson Reuters DealScan
tr_sdc_samples,None
trace_enhanced,FINRA TRACE Enhanced
trace_standard,FINRA TRACE corporate bond trades
trsamp_all,Thomson Reuters Samples
trsamp_db_dmi,D&B U.S. DMI - Sample Version
trsamp_db_wb,D&B’s Global Archive/WorldBase - Sample Version
trsamp_ds_eq,Datastream Equities Sample
trsamp_dscom,Datastream Commodities - Sample Data
trsamp_dsecon,Datastream Economics - Sample Data
trsamp_dsfut,Datastream Futures - Sample Data
trsamp_esg,Refinitiv ESG - Sample Version
trsamp_sdc_ma,Thomson Reuters SDC Trial / Sample - M&A
trsamp_sdc_ni,Thomson Reuters SDC Trial / Sample - New Issues
trsamp_worldscope,Thomson Reuters Worldscope - Sample/Trial
trucost_common,Trucost Common Tables
trucost_environ,Trucost Environmental
trucost_fossilfuel,Trucost Environmental: Fossil Fuels
trucost_samp,Trucost Sample
trucost_sector_ff,Trucost Environmental: Fossil Fuels Sector
trucost_sector_revenue,Trucost Environmental: Revenue Sector
twoiq_samp,2iQ Trial / Sample
wrds_abs_samp,Securitized Loans & Leases by WRDS - Form ABS Sample
wrds_environmental_samp,WRDS Environmental Sample
wrds_insiders_samp,WRDS Insiders Sample
wrds_mcp_access,Enables access to WRDS via the MCP interface.
wrds_mcp_reference_tools,Grants access to WRDS reference tools via MCP.
wrds_mutualfund_samp,WRDS Mutual Fund Sample
wrds_sec_search,SEC full text search in PostgreSQL.
wrds_shortvolume_samp,WRDS Short Volume Sample
wrdsapps_all,WRDS Research Applications
wrdsapps_backtest_basic,WRDS Backtest Basic
